Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"100n","CAP CER 0.1UF 16V X7R 0402","C1, C2, C5, C9, C12, C17, C20","FP-GRM15-MFG","CMP-2100-03641-2","7","C71629"
"10u","CL21 Series 0805 10uF 10V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor","C3, C4, C6","FP-CL21-IPC_C","CMP-13271-002245-1","3","C77075"
"1p","Multi-Layer Ceramic Capacitor 1pF C0G  ±0.1pF 0402 Paper T/R","C7","FP-GJM155-0_05-IPC_B","CMP-2008-03808-2","1","C76898"
"1u","","C8","CAPC2013X135X45LL10T25","CMP-2007-03460-1","1","C3018567"
"10u","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 16V","C10, C11","FP-GRM21B-0_1-IPC_C","CMP-2007-03453-2","2","C77075"
"47p","CAP CER 47PF 50V C0G/NP0 0805","C13, C14, C15, C16","FP-C0805C-DN-MFG","CMP-2007-00435-2","4","C437549"
"100u","Cap Ceramic 100uF 10V X5R ±20% SMD 1210 +85°C Embossed T/R","C18, C19","FP-CL32-IPC_C","CMP-13271-001285-1","2","C23742"
"MBR120VLSFT1G","Schottky Power Rectifier, 2-Pin SOD-123, Pb-Free, Tape and Reel","D1, D4","ONSC-SOD-123FL-2-498-01_V","CMP-1055-00449-1","2","C223608"
"105017-0001","Micro-USB B Receptacle, Right Angle, Bottom Mount, Surface Mount, with Solder Tabs, -30 to 85 degC, 5-Pin USB, RoHS, Tape and Reel","J1","USB-MICRO-B_V","CMP-2000-05827-1","1","C136000"
"2n2","Wire Wound RF Inductor 2.2nH ±0.1nH 2530mA 0.022O 0402 (1005)","L1","FP-LQW15AN_80-MFG","CMP-06042-010718-1","1","C2041833"
"ESP32-C3-MINI-1-N4","Multiprotocol Modules SMD module, ESP32-C3FN4, PCB antenna, -40 C +85 C","MD1","FP-ESP32-C3-MINI-1-N4-MFG","CMP-10700-116589975-1","1","C2838502"
"FDN337N","MOSFET N-CH 30V 2.2A SSOT3","Q1","FP-527AG-MFG","CMP-2000-06250-2","1","C241805"
"NTRV4101PT1G","Trench Power MOSFET, -20 V, Single P-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q2","ONSC-SOT-23-3-318-08_V","CMP-1058-00744-1","1","C236215"
"1k","Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R21","RESC2013X60X35ML10T20","CMP-2100-03671-1","1","C95781"
"100k","RES 100K OHM 1% 1/8W 0805","R2, R3, R4, R8","FP-RC0805-0_6-IPC_C","CMP-2100-03668-5","4","C96346"
"150","Chip Resistor, 150 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R5","RESC1608X55X25ML10T15","CMP-1659-00057-1","1","C114608"
"10k","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R6, R10, R11","RESC2013X60X35NL10T20","CMP-1659-00013-4","3","C84376"
"453k","","R7","RESC2013X60X35NL10T20","CMP-2001-01154-1","1","C276305"
"0","Chip Resistor, 0 Ohm, Jumper, +/- 5%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R9","RESC2013X60X35ML10T20","CMP-2100-03673-1","1","C96345"
"100k","3214 - 5-Turn Trimpot(R) Trimming Potentiometer, 100 KOhm, +/- 10%, 0.25 W, -65 to 150 degC, RoHS, Tape and Reel","R12, R13, R14, R15","BOUR-3214W_V","CMP-2000-05578-1","4","C780201"
"0","RES SMD 0 OHM JUMPER 1W 2512","R16, R17, R18, R19","FP-RC2512-0_65-IPC_C","CMP-2000-06974-2","4","C189505"
"2k","","R20","RESC2013X60X35ML10T20","CMP-2001-01361-1","1","C114748"
"47","","R1, R22","FP-RC0603-0_55-MFG","CMP-1659-00039-2","2","C114623"
"430152070826","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 500000Cycles 2.55N SMD Reel","SW1","430152070826","CMP-1452-00005-4","1","C7185028"
"TLV76733DRVR","VOLTAGE COMPARATOR","U1","FP-DRV0006A-IPC_C","CMP-04917-000203-1","1","C2848334"
"LM66100DCKT","IC OR CTRLR IDEAL DIODE SC70-6","U2, U5","FP-DCK0006A-IPC_C","CMP-04910-000059-1","2","C2832141"
"TPD2E001DRLR","Low-Capacitance + / - 15 kV ESD-Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 5-pin SOT (DRL), Green (RoHS & no Sb/Br)","U3, U4","DRL0005A_L","CMP-0326-00048-3","2","C150526"
"TPS61023DRLR","FINISH GOODS FOR TPS61023","U6","FP-DRL0006A-MFG","CMP-04918-000638-1","1","C919459"
"TLV2474AID","Quad Low-Power Rail-to-Rail Input / Output Operational Amplifier, 2.7 to 6 V, -40 to 125 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)","U7","D0014A_N","CMP-0272-00062-3","1","C2058595"
